mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5545145511627197,0.01260682421070035,0.018648719787597655,0.0016515517456438169,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8947368421052632,0.8881578947368421,0.8947368421052632,0.899505766062603,0.8945634266886326,0.8943401543397208,0.003612989099828953,2
0.145737361907959,0.007249291202404927,0.007279300689697265,0.0016888819284099827,20,2,10,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8930921052631579,0.8848684210526315,0.8947368421052632,0.8962108731466227,0.886326194398682,0.8910468871932714,0.004580912997302042,28
0.2958968162536621,0.017179581388290614,0.0113616943359375,0.0015379818845527187,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8930921052631579,0.8848684210526315,0.8930921052631579,0.8978583196046128,0.8896210873146623,0.8917064076996445,0.004307968385545437,15
0.5491117477416992,0.014073043287249594,0.017723560333251953,0.0018621964402464847,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8865131578947368,0.8832236842105263,0.8947368421052632,0.8978583196046128,0.8912685337726524,0.8907201075175584,0.005315708559209809,33
0.1456378936767578,0.002909197611884762,0.007379055023193359,0.0015165626842364467,20,4,2,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8930921052631579,0.8963815789473685,0.881578947368421,0.8912685337726524,0.8896210873146623,0.8903884505332524,0.004943643917502907,35
0.2764917850494385,0.018136117466254237,0.010287141799926758,0.0011629177171957243,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8865131578947368,0.8914473684210527,0.8865131578947368,0.8929159802306426,0.899505766062603,0.8913790861007543,0.004811738726412657,18
0.5660280227661133,0.025043006179995976,0.020901012420654296,0.004059348263641781,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8848684210526315,0.8865131578947368,0.8914473684210527,0.8962108731466227,0.8978583196046128,0.8913796280239314,0.005126349783929503,16
0.14413576126098632,0.003917106165387452,0.007002067565917969,0.000290279741849107,20,4,5,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.8930921052631579,0.8963815789473685,0.881578947368421,0.8912685337726524,0.8896210873146623,0.8903884505332524,0.004943643917502907,35
0.2747096061706543,0.01881880531264287,0.009496355056762695,0.0005696266954358106,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8865131578947368,0.8914473684210527,0.8865131578947368,0.8929159802306426,0.899505766062603,0.8913790861007543,0.004811738726412657,18
0.6156485557556153,0.01890168512537557,0.02133913040161133,0.0018710971631638546,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.8848684210526315,0.8865131578947368,0.8914473684210527,0.8962108731466227,0.8978583196046128,0.8913796280239314,0.005126349783929503,16
